ostatni
przedostatni
pierwszy
drugi
trzeci
czwarty
piąty
szósty
siódmy
ósmy
dziewiąty
dziesiąty
jedenasty
dwunasty
trzynasty
czternasty
piętnasty
szesnasty
siedemnasty
osiemnasty
dziewiętnasty
dwudziesty
trzydziesty
czterdziesty
pięćdziesiąty
sześćdziesiąty
siedemdziesiąty
osiemdziesiąty
dziewięćdziesiąty
setny
dwusetny
trzysetny

