biliard
bilion
czterdzieści
czternaście
cztery
czterysta
ćwierć
dwadzieścia
dwanaście
dwa
dwieście
dziesięć
dziewięćdziesiąt
dziewięć
dziewięćset
dziewiętnaście
jedenaście
jeden
kwadrylion
miliard
milion
osiemdziesiąt
osiemnaście
osiem
osiemset
pięćdziesiąt
pięć
pięćset
piętnaście
pół
półtora
siedemdziesiąt
siedemnaście
siedem
siedemset
sto
szesnaście
sześćdziesiąt
sześć
sześćset
tryliard
trylion
trzydzieści
trzynaście
trzy
trzysta
tysiąc
zero
