dużo
gros
ilekolwiek
ile
ileś
ileż
kilkadziesiąt
kilkanaście
kilka
kilkaset
kupanum-NKJP1M
mało
mniej
mnóstwonum-NKJP1M
moc
najmniej
najwięcej
nieco
niedużo
niemało
niewiele
oba
obydwa
parędziesiąt
paręnaście
parę
paręset
sporo
trochę
troszeczkęnum-NKJP1M
troszkęnum-NKJP1M
tyle
tyleż
tysiące
wieledziesiąt
wiele
wieleset
wieleż
więcej
