(?!)
(++)
(--)
(…)
(?)
(+)
(!)
(-)
(*)
[…]
[+]
[-]
[?]
]
[
?!…
????
?!!!
?!?
???
?!
??
!…
!?
?…
…?
?
!!!!
!!!
!!
!
/…/
*****
****
***
**
*
+
<
>
·
•
¨
~
{
}
^^
^
|
&
=
/
_
@
×
±
%
$
€
²
°
§
®
™
µ
μ
†
