I .	I.	initial
J .	J.	initial
K .	K.	initial
L .	L.	initial
M .	M.	initial
N .	N.	initial
O .	O.	initial
P .	P.	initial
Q .	Q.	initial
R .	R.	initial
S .	S.	initial
T .	T.	initial
U .	U.	initial
V .	V.	initial
W .	W.	initial
X .	X.	initial
Y .	Y.	initial
Z .	Z.	initial
Ć .	Ć.	initial
Ś .	Ś.	initial
Ł .	Ł.	initial
Ż .	Ż.	initial
Ź .	Ź.	initial
b - ci	brat	subst:pl:gen.acc:m1:pt
b - cia	brat	subst:pl:nom.voc:m1:pt
b - ciach	brat	subst:pl:loc:m1:pt
b - ciom	brat	subst:pl:dat:m1:pt
b - ćmi	brat	subst:pl:inst:m1:pt
d - ca	dowódca	subst:sg:nom:m1
d - cach	dowódca	subst:pl:loc:m1
d - cami	dowódca	subst:pl:inst:m1
d - ce	dowódca	depr:pl:nom.voc:m2
d - co	dowódca	subst:sg:voc:m1
d - com	dowódca	subst:pl:dat:m1
d - cy	dowódca	subst:pl:nom.voc:m1
d - cy	dowódca	subst:sg:gen.dat.loc:m1
d - ców	dowódca	subst:pl:gen.acc:m1
d - cą	dowódca	subst:sg:inst:m1
d - cę	dowódca	subst:sg:acc:m1
z - ca	zastępca	subst:sg:nom:m1
z - cach	zastępca	subst:pl:loc:m1
z - cami	zastępca	subst:pl:inst:m1
z - ce	zastępca	depr:pl:nom.voc:m2
z - co	zastępca	subst:sg:voc:m1
z - com	zastępca	subst:pl:dat:m1
z - cy	zastępca	subst:pl:nom.voc:m1
z - cy	zastępca	subst:sg:gen.dat.loc:m1
z - ców	zastępca	subst:pl:gen.acc:m1
z - cą	zastępca	subst:sg:inst:m1
z - cę	zastępca	subst:sg:acc:m1

