Bolesław III Krzywousty
Bolesław II Śmiały
Bolesław I Chrobry
Henryk II Pobożny
Henryk IV Probus
Henryk I Brodaty
Janusz I
Jan III Sobieski
Jan II Kazimierz
Jan I Olbracht
Jan Paweł II
Kazimierz III Wielki
Kazimierz II Sprawiedliwy
Kazimierz IV Jagiellończyk
Kazimierz I Odnowiciel
Mieszko I
Mieszko III Stary
Przemysław II
Władysław III Laskonogi
Władysław III Warneńczyk
Władysław II Jagiełło
Władysław IV Waza
Władysław I Łokietek
Zygmunt III Waza
Zygmunt II August
Ładysław z Gielniowa

