admirał
adwokat
architekt
arcybiskup
astronom
baron
biskup
brat
burmistrz
błogosławiona
błogosławiony
chorąży
cichociemny
doktor
druh
druhna
dyrektor
generał
harcerz
harcmistrz
harcmistrzyni
hetman
hrabia
hrabina
infułat
inżynier
kanclerz
kanonik
kapelan
kapitan
kapral
kardynał
kasztelan
komandor
komendant
kontradmirał
kronikarz
król
królewicz
królewna
królowa
książę
ksiądz
księżniczka
kurier
lekarz
major
marszałek
matematyk
matka
mecenas
metropolita
mistrz
ojciec
olimpijczyk
opat
ordynariusz
partyzant
pastor
pilot
plutonowy
poczmistrz
podharcmistrz
podkomisarz
podporucznik
podpułkownik
porucznik
poseł
powstaniec
prałat
premier
prezydent
profesor
prymas
przeor
przewodnik
pułkownik
rabin
rzeźbiarz
rotmistrz
senator
sierżant
siostra
sołtys
sędzia
ułan
wachmistrz
wiceadmirał
wojewoda
wójt
święta
święty

