0	27883					subst:sg.pl:nom.gen.dat.acc.inst.loc.voc:f	cat=ndm	toponym=21 other=146 lastname=27258 firstname=47 acronym=414
54	3			Hach	H	subst:pl:loc:m3	lemma=ε lcon=h flex=ach palat=n con=h cat=noun	acronym=3
55	3			Hami	H	subst:pl:inst:m3	lemma=ε lcon=h flex=ami palat=n con=h cat=noun	acronym=3
56	3			Hem	H	subst:sg:inst:m3	lemma=ε lcon=h flex=em palat=n con=h cat=noun	acronym=3
57	3			Hom	H	subst:pl:dat:m3	lemma=ε lcon=h flex=om palat=n con=h cat=noun	acronym=3
58	3			Howi	H	subst:sg:dat:m3	lemma=ε lcon=h flex=owi palat=n con=h cat=noun	acronym=3
59	3			Hu	H	subst:sg:gen:m3	lemma=ε lcon=h flex=u palat=n velar=t con=h cat=noun	acronym=3
60	3			Hu	H	subst:sg:loc.voc:m3	lemma=ε lcon=h flex=u palat=n velar=t con=h cat=noun	acronym=3
61	3			Hy	H	subst:pl:nom.acc.voc:m3	lemma=ε lcon=h flex=y palat=n con=h cat=noun	acronym=3
62	3			Hów	H	subst:pl:gen:m3	lemma=ε lcon=h flex=ów palat=n con=h cat=noun	acronym=3
63	6			I	I	subst:sg:nom.acc:m3	lemma=ε lcon=j flex=ε palat=t con=j cat=noun	acronym=6
64	3			Iach	I	subst:pl:loc:m3	lemma=ε lcon=j flex=ach palat=t con=j cat=noun	acronym=3
65	3			Iami	I	subst:pl:inst:m3	lemma=ε lcon=j flex=ami palat=t con=j cat=noun	acronym=3
66	3			Ie	I	subst:pl:nom.acc.voc:m3	lemma=ε lcon=j flex=e palat=t con=j cat=noun	acronym=3
67	3			Iem	I	subst:sg:inst:m3	lemma=ε lcon=j flex=em palat=t con=j cat=noun	acronym=3
68	3			Ii	I	subst:pl:gen:m3	lemma=ε lcon=j flex=y palat=t con=j cat=noun	acronym=3
69	3			Iom	I	subst:pl:dat:m3	lemma=ε lcon=j flex=om palat=t con=j cat=noun	acronym=3
70	3			Iowi	I	subst:sg:dat:m3	lemma=ε lcon=j flex=owi palat=t con=j cat=noun	acronym=3
71	3			Iu	I	subst:sg:gen:m3	lemma=ε lcon=j flex=u palat=t con=j cat=noun	acronym=3
72	3			Iu	I	subst:sg:loc.voc:m3	lemma=ε lcon=j flex=u palat=t con=j cat=noun	acronym=3
73	10			J	J	subst:sg:nom.acc:m3	lemma=ε lcon=j flex=ε palat=t con=j cat=noun	acronym=10
74	2			J	J	subst:sg:nom:m1	lemma=ε lcon=j flex=ε palat=t con=j cat=noun	acronym=2
75	1			Ja	J	subst:sg:gen.acc:m1	lemma=ε lcon=j flex=a palat=t con=j cat=noun	acronym=1
76	1			Jach	J	subst:pl:loc:m1	lemma=ε lcon=j flex=ach palat=t con=j cat=noun	acronym=1
77	1			Jami	J	subst:pl:inst:m1	lemma=ε lcon=j flex=ami palat=t con=j cat=noun	acronym=1
78	1			Je	J	depr:pl:nom.acc.voc:m2	lemma=ε lcon=j flex=e palat=t con=j cat=noun	acronym=1
79	1			Je	J	subst:pl:nom.voc:m1	lemma=ε lcon=j flex=e palat=t con=j cat=noun	acronym=1
80	1			Jem	J	subst:sg:inst:m1	lemma=ε lcon=j flex=em palat=t con=j cat=noun	acronym=1
81	1			Ji	J	subst:pl:gen.acc:m1	lemma=ε lcon=j flex=y palat=t con=j cat=noun	acronym=1
82	1			Jom	J	subst:pl:dat:m1	lemma=ε lcon=j flex=om palat=t con=j cat=noun	acronym=1
83	1			Jowi	J	subst:sg:dat:m1	lemma=ε lcon=j flex=owi palat=t con=j cat=noun	acronym=1
84	1			Ju	J	subst:sg:loc.voc:m1	lemma=ε lcon=j flex=u palat=t con=j cat=noun	acronym=1
85	1			Jów	J	subst:pl:gen.acc:m1	lemma=ε lcon=j flex=ów palat=t con=j cat=noun	acronym=1
86	18			K	K	subst:sg:nom.acc:m3	lemma=ε lcon=k flex=ε palat=n con=k cat=noun	acronym=18
87	2			K	K	subst:sg:nom:m2	lemma=ε lcon=k flex=ε palat=n con=k cat=noun	acronym=2
88	1			Ka	K	subst:sg:gen.acc:m2	lemma=ε lcon=k flex=a palat=n con=k cat=noun	acronym=1
89	1			Kach	K	subst:pl:loc:m2	lemma=ε lcon=k flex=ach palat=n con=k cat=noun	acronym=1
90	8			Kach	K	subst:pl:loc:m3	lemma=ε lcon=k flex=ach palat=n con=k cat=noun	acronym=8
91	1			Kami	K	subst:pl:inst:m2	lemma=ε lcon=k flex=ami palat=n con=k cat=noun	acronym=1
92	8			Kami	K	subst:pl:inst:m3	lemma=ε lcon=k flex=ami palat=n con=k cat=noun	acronym=8
93	1			Kom	K	subst:pl:dat:m2	lemma=ε lcon=k flex=om palat=n con=k cat=noun	acronym=1
94	8			Kom	K	subst:pl:dat:m3	lemma=ε lcon=k flex=om palat=n con=k cat=noun	acronym=8
95	1			Kowi	K	subst:sg:dat:m2	lemma=ε lcon=k flex=owi palat=n con=k cat=noun	acronym=1
96	8			Kowi	K	subst:sg:dat:m3	lemma=ε lcon=k flex=owi palat=n con=k cat=noun	acronym=8
97	8			Ku	K	subst:sg:gen:m3	lemma=ε lcon=k flex=u palat=n velar=t con=k cat=noun	acronym=8
98	1			Ku	K	subst:sg:loc.voc:m2	lemma=ε lcon=k flex=u palat=n velar=t con=k cat=noun	acronym=1
99	8			Ku	K	subst:sg:loc.voc:m3	lemma=ε lcon=k flex=u palat=n velar=t con=k cat=noun	acronym=8
100	1			Ków	K	subst:pl:gen:m2	lemma=ε lcon=k flex=ów palat=n con=k cat=noun	acronym=1
