bała-bała
bim-bam
bul-bul
chrup-chrup
ciap-ciap
cip-cip
der-der
dul-dul
dylu-dylu
e-e
ef-ef
fiku-miku
gadu-gadu
hokus-pokus
hu-ha
huru-buru
kikut-śtukut
klepu-klep
klepu-klepu
klituś-bajduś
ko-ko-ko
krętu-wętu
łapu-capu
łubu-du
łupu-cupu
mru-mru
myju-myju
pif-paf
pit-pi-lit
pitu-pitu
ple-ple
ryzyk-fizyk
sakum-pakum
szacher-macher
szurum-burum
taś-taś
tik-tak
