Abramowicki
Abramowski
Adamowy
Annopolski
Annowski
Augustowski
Awaryjny
Babi
Babicki
Babski
Bachański
Bachmacki
Bachorny
Bachorski
Bagnowski
Bajorski
Bajtkowski
Baliński
Bałdrzychowski
Bałdzki
Bałtowski
Bałucki
Bankowy
Bański
Barani
Baranowski
Barciański
Barcicki
Barciński
Barczącki
Barczewski
Bardzyński
Bargłowski
Barszczowy
Bartkowski
Bartkowy
Bartni
Bartosowy
Batorski
Bąkowski
Bąkowy
Bełwiński
Bernacki
Beskidzki
Bestry
Bezławecki
Bezmiechowy
Będkowski
Będzitowski
Bialski
Białaczowski
Białogardzki
Białostocki
Białusny
Biały
Biczycki
Biechowski
Biegonicki
Biejkowski
Bielański
Bielawski
Bielecki
Bieliński
Bielski
Bierwiecki
Bierzgłowski
Bileński
Bilski
Biórkowski
Biski
Biskupi
Biskupski
Biszewski
Bity
Blakowy
Blizanowski
Blizocki
Bliższy
Błędowsi
Błędowski
Błędowy
Błoński
Błotny
Bobkowy
Bobowski
Bobrownicki
Bobrowski
Bobrowy
Bobrzański
Bocheński
Boćwiński
Bodzanowski
Bodzechowski
Bogacki
Bogaczkowski
Boglewski
Bogucki
Bogumiłowicki
Bogusławski
Boguszowski
Bokrzycki
Boksiński
Bolesławiecki
Bolesławski
Boleszyński
Bolewski
Bolimowski
Borecki
Borowicki
Borowski
Borowy
Borzechowski
Borzestowski
Borzy
Borzykowski
Boski
Bosowski
Bożkowy
Boży
Branecki
Branicki
Braniewski
Brankowski
Bratiański
Brdowski
Breński
Brochowski
Brodowski
Brodowy
Brodzki
Brudnowski
Brudzki
Bruski
Brwileński
Brzeski
Brzezicki
Brzezieński
Brzezinny
Brzeziński
Brzeźniowski
Brzostecki
Brzostowy
Brzozowy
Brzóski
Brzóstowski
Brzózki
Brzuchański
Brzuski
Brzyński
Brzyski
Buchowski
Buczkowski
Budziszowski
Budzki
Budzyński
Bukowski
Bukowy
Burzecki
Butny
Bychawski
Bycki
Bydliński
Bykowski
Bystry
Bystrzycki
Bytnicki
Bytoński
Cacewski
Carski
Cerkiewny
Chabielski
Chałupczański
Charbrowski
Charzewski
Chełmiński
Chełmoński
Chełmski
Chlewski
Chłodny
Chłopi
Chłopski
Chmieleński
Chociński
Chodecki
Chodkowski
Chojnacki
Cholerzyński
Chomejowy
Chorąski
Chorzelowski
Chotecki
Chotomowski
Chotumski
Chotyniecki
Chrapanowski
Chrobakowy
Chroberski
Chruściński
Chudy
Chwałowski
Chyłki
Ciarski
Ciążeński
Cichy
Ciechomski
Ciecierowski
Cieciułowski
Ciekliński
Ciemny
Cienki
Ciepieliński
Ciepły
Cisowy
Ciuciułowski
Cmentarny
Cmolarski
Cychrowski
Cycowski
Cygowski
Cyrusowy
Cysterski
Czamborowy
Czaplinkowski
Czarci
Czarkowy
Czarniecki
Czarniński
Czarnkowski
Czarnociński
Czarnocki
Czarnogłowski
Czarnostocki
Czarnowski
Czarny
Czarnyski
Czaryski
Czepiecki
Czepowy
Czernicki
Czerniejewski
Czernięciński
Czerniński
Czerski
Czerwiński
Czerwony
Czeski
Czeszycki
Częściowy
Człuchowski
Czołnowski
Czosnowski
Czudecki
Czułczycki
Czwarty
Czysty
Dalny
Dalszy
Daniszewski
Dańkowski
Dąbrowicki
Dąbrowiecki
Dąbrowny
Dąbrowski
Dąbrówszczański
Dąbski
Delastowski
Dereźniański
Deręgowski
Dębi
Dębiański
Dębiński
Dębniański
Dębowiecki
Dębowski
Dębowy
Dębski
Diabli
Długi
Dłuski
Dłutowski
Dłużewski
Dłużniewski
Dmeniński
Dobreński
Dobrodzieński
Dobromirowy
Dobrowski
Dobrski
Dobry
Dobryński
Dolistowski
Dolny
Domaniowski
Domaradzki
Domaszewski
Domatkowski
Drawski
Drążdżewski
Drobiński
Dronowy
Droszewski
Drugi
Drużbiński
Drwalewski
Drwęczny
Drwiński
Drygalski
Drzazgowy
Drzązgowski
Drzeciński
Drzewiecki
Dubasiewski
Dubiecki
Dubiński
Dubowski
Duchnowski
Duchowny
Ducki
Dukielski
Duranowski
Durąski
Dusowski
Duszny
Duży
Dworcowy
Dworny
Dworski
Dworszowski
Dydyński
Dylański
Dylewski
Dymarski
Dymerski
Dziadowy
Działyński
Dziankowski
Dziemiański
Dzierążyński
Dziergowski
Dzierzkowski
Dzierżny
Dzierżoniowski
Dziesławski
Dziewczy
Dziewiczy
Dziki
Elbląski
Ełcki
Emski
Fabiański
Fabryczny
Falenicki
Falęcki
Fałkowski
Filipowski
Fingrowy
Flaszczyny
Folwarczny
Franckowy
Francuski
Furmański
Gabowy
Gadowski
Gajęcki
Gajowity
Gałecki
Gałęzowski
Garbarski
Gardkowski
Gardzienicki
Garliński
Garncarski
Garwarski
Garwoliński
Gawartowy
Gawronny
Gąsecki
Gdański
Gębarzowski
Gęsi
Gidelski
Gieraszowski
Giżycki
Giżyński
Gliniański
Glinny
Głębocki
Głęboki
Głębowski
Głodny
Głodowski
Głogowski
Głowaczowski
Głowieński
Główny
Głubczycki
Głuchy
Głupicki
Gniewski
Gnoiński
Godowski
Gogołowski
Golakowy
Golczański
Golczowski
Golenicki
Goleszowski
Golski
Golubski
Gołaszewski
Gołdapski
Gołębski
Gołkowski
Gołoski
Gołuski
Goły
Gołymiński
Gonciarski
Goniądzki
Gorlicki
Goryński
Gorzki
Gorzkowski
Gorzycki
Gosławicki
Gosławski
Gostecki
Gostomski
Gostyński
Goszczański
Goszczewicki
Goszycki
Gościeradowski
Gościeszyński
Gościmski
Gościnny
Gozdawski
