Andryszów	część miejscowości
Andrzejewo	część miasta
Andrzejewo	część miejscowości
Andrzejewo	kolonia
Andrzejewo	osada leśna
Andrzejewo	wieś
Andrzejewo-Kolonie	część miejscowości
Andrzejewo-Zarzecze	część miejscowości
Andrzejki	wieś
Andrzejki-Tyszki	wieś
Andrzejpole	osada
Andrzejów	część miasta
Andrzejów	część miejscowości
Andrzejów	wieś
Andrzejów Duranowski	wieś
Andrzejów-Osada	osada
Andrzejówka	część miejscowości
Andrzejówka	przysiółek
Andrzejówka	wieś
Andrzejówka-Kolonia	część miejscowości
Andzin	wieś
Andziółówka	część miejscowości
Anglity	kolonia
Angowice	wieś
Anielew	wieś
Anielewo	część miejscowości
Anielewo	kolonia
Anielewo	wieś
Anielin	część miasta
Anielin	część miejscowości
Anielin	kolonia
Anielin	osada
Anielin	wieś
Anielin Górny	część miejscowości
Anielin Rozniszewski	część miejscowości
Anielin Swędowski	wieś
Anielina	część miasta
Anielinek	część miejscowości
Anielinek	wieś
Anielino	wieś
Anieliny	wieś
Anielki	kolonia
Anielpol	wieś
Anielów	część miejscowości
Anielów	kolonia
Anielów	wieś
Anielówka	wieś
Anin	część miasta
Anin	kolonia
Anin	osada
Aniołka Druga	osada
Aniołka Pierwsza	wieś
Aniołka-Parcele	osada
Aniołki	część miejscowości
Aniołki	osada
Aniołowie	część miejscowości
Aniołowo	wieś
Aniołów	część miasta
Ankamaty	wieś
Anna	część miasta
Anna	część miejscowości
Annapol	część miasta
Annapol	wieś
Annetów	wieś
Annobór	wieś
Annobór-Kolonia	kolonia
Annogóra	kolonia
Annolesie	wieś
Annopol	część miasta
Annopol	część miejscowości
Annopol	kolonia
Annopol	miasto
Annopol	osada
Annopol	wieś
Annopol Duży	wieś
Annopol Mały	wieś
Annopole	osada
Annopole	wieś
Annopole Nowe	wieś
Annopole Stare	wieś
Annosław	wieś
Annowo	przysiółek
Annowo	wieś
Annów	wieś
Annówka	część miejscowości
Annówka	wieś
Anonin	wieś
Ant	część miejscowości
Antaczówka	część miejscowości
Antałówka	część miasta
Antałówka	część miejscowości
Anteczków	osada
Antolek	część miasta
Antolin	wieś
Antolka	wieś
Antomieszki	osada
Antonia	wieś
Antonie	wieś
Antonielów	wieś
Antoniew	część miasta
Antoniew	część miejscowości
Antoniew	wieś
Antoniew-Lubocha	osada
Antoniewice	kolonia
Antoniewko	osada leśna
Antoniewo	część miejscowości
Antoniewo	kolonia
Antoniewo	osada
Antoniewo	osada leśna
Antoniewo	przysiółek
Antoniewo	wieś
Antoniewo Drugie	część miejscowości
Antoniewo Górne	osada
Antoniewo-Góry	część miejscowości
Antoniki	wieś
Antonin	część miasta
Antonin	część miejscowości
Antonin	kolonia
Antonin	osada
Antonin	przysiółek
Antonin	wieś
Antonina	wieś
Antoninek	część miasta
Antoninek	część miejscowości
Antoninek	osada
Antoninek	wieś
Antoniny	część miasta
Antoniny	przysiółek
Antoniny	wieś
Antoninów	część miejscowości
Antoninów	kolonia
Antoninów	wieś
Antoniowiec	część miasta
Antoniuk	część miasta
Antoniuk Fabryczny	część miasta
Antoniów	część miejscowości
Antoniów	kolonia
Antoniów	osada
Antoniów	osada leśna
Antoniów	przysiółek
Antoniów	wieś
Antoniów Duży	część miejscowości
Antoniów Mały	część miejscowości
Antoniów-Kolonia	kolonia
Antoniówek	część miejscowości
Antoniówka	część miejscowości
Antoniówka	kolonia
Antoniówka	przysiółek
Antoniówka	wieś
Antoniówka Wilczkowska	wieś
Antoniówka Świerżowska	wieś
Antonowo	część miejscowości
Antonowo	kolonia
Antonowo	osada leśna
Antonowo	wieś
Antonów	wieś
Antonówka	część miasta
Antonówka	część miejscowości
Antonówka	kolonia
Antonówka	wieś
Antonówki	część miasta
Antopol	część miejscowości
Antopol	kolonia
Antopol	wieś
Antosin	wieś
Antosze	część miejscowości
Antoszka	przysiółek
Antońka	część miejscowości
Anulin	przysiółek
Anusin	część miejscowości
Anusin	kolonia
Anusin	wieś
Anusinek	przysiółek
Anuszewo	osada
Aplinki	osada
Apolinary	część miejscowości
Apolinów	wieś
Apolonia	wieś
Apolonka	wieś
Apolonka-Leśniczówka	osada leśna
Apostoły	część miejscowości
Aptynty	osada
Arbasy	wieś
Arbasy Małe	kolonia
Arcelin	wieś
Archaniołów	część miejscowości
Archutowo	wieś
Archutówko	wieś
Arciechów	wieś
Arciechówek	wieś
Arciszewo	osada
Arciszewo	wieś
Arcugowo	wieś
Ardapy	wieś
Arenda	część miejscowości
Arendarczykówka	część miejscowości
Arendowizna	część miejscowości
Arendy	część miejscowości
Arentowo	wieś
Argentyna	część miasta
Argentyna	część miejscowości
Ariany	wieś
Arkadia	wieś
Arkadia-Parcela	część miejscowości
Arklity	osada
Arkuszewo	część miasta
Arkuszewo	wieś
Arkuszów	część miejscowości
Arntowo	część miasta
Artulewo	część miejscowości
Arturowo	osada
Arturówek	część miasta
Artych	część miasta
Arynów	wieś
Arłamów	osada
Asmus	wieś
Astachowice	wieś
Asuny	wieś
Aszkarówka	część miejscowości
Atalin	wieś
Atanazyn	wieś
Ateny	osada leśna
Ateny	wieś
Audyniszki	wieś
Augamy	wieś
Augustopol	wieś
Augustowo	część miejscowości
Augustowo	osada
Augustowo	wieś
Augustynka	wieś
Augustynki	część miejscowości
Augustynowo	część miejscowości
Augustynowo	wieś
Augustyny	część miejscowości
Augustyny	wieś
Augustynów	część miejscowości
Augustynów	wieś
Augustów	część miasta
Augustów	część miejscowości
Augustów	miasto
Augustów	osada
Augustów	przysiółek
Augustów	wieś
Augustówek	część miasta
Augustówek	wieś
Augustówka	część miasta
Augustówka	część miejscowości
Augustówka	przysiółek
Augustówka	wieś
Auguścin	wieś
Aulakowszczyzna	wieś
Auls	kolonia
Aurelin	wieś
Awajki	wieś
Awuls	część miejscowości
Awuls	osada leśna
Azja	część miejscowości
Azory	część miasta
Baba	część miejscowości
Baba	osada
Baba	osada leśna
Baba	wieś
Babalice	wieś
Babańce	wieś
Babczyzna	wieś
Babczów	wieś
Babcówka	część miejscowości
Babi Brzuch	część miejscowości
Babi Dwór	osada
Babi Dół	część miejscowości
Babi Dół	wieś
Babi Koniec	część miejscowości
Babi Las	przysiółek
Babia	część miejscowości
Babia	wieś
Babia Gać	osada
Babia Góra	część miejscowości
Babia Góra	przysiółek
Babia Rzeka	część miejscowości
Babia Ława	część miasta
Babiak	część miejscowości
Babiak	kolonia
Babiak	wieś
Babiaki	część miejscowości
Babianka	część miejscowości
Babianka	kolonia
Babianka	wieś
Babiarze	część miejscowości
Babiarze	przysiółek
Babiarzówka	część miasta
Babiarzówka	część miejscowości
Babica	część miejscowości
Babica	wieś
Babice	część miasta
Babice	część miejscowości
Babice	wieś
Babice Nowe	wieś
Babice-Kolonia	kolonia
Babicha	wieś
Babichy	wieś
Babiczki	wieś
Babidół	wieś
Babie	część miejscowości
Babie Błota	część miejscowości
Babie Doły	część miasta
Babie Doły	przysiółek
Babie Laski	część miejscowości
Babie Ławy	kolonia
Babiec	część miejscowości
